"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Lab","Homework","Quiz","overall","Grade"
"134",100,99,100,90,100,99,100,95,99,12,100,89,95,95,72,78,90,87,100,99,97,94,"A"
"135",60,100,92,100,100,94,100,80,100,12,75,50,45,65,62,76,78,84,100,96,63,85,"B"
"136",88,92,100,80,95,89,95,95,90,12,83,78,65,70,55,79,69,88,100,93,77,85,"B"
"137",99,83,92,98,100,0,0,0,0,6,33,17,0,0,30,13,37,14,0,59,17,31,"F"
"138",100,100,100,100,100,100,0,100,96,11,75,78,55,80,65,58,81,65,100,100,78,84,"B"
"139",82,100,94,100,100,95,80,90,100,12,67,89,70,85,63,63,79,70,100,95,81,84,"B"
"140",52,100,82,90,100,94,100,75,85,12,92,50,42,85,67,74,84,82,100,91,76,86,"B"
"141",60,70,85,75,0,0,0,0,0,3,67,78,0,95,67,66,84,73,0,36,80,58,"D"
"142",90,0,70,90,0,44,0,40,55,10,92,78,55,65,43,50,54,55,80,49,78,59,"D"
"143",88,100,100,100,100,100,100,100,80,12,100,100,65,100,80,85,100,94,100,98,100,98,"A+"
"144",92,100,100,70,100,100,92,100,80,12,92,94,85,85,61,51,76,57,100,96,90,82,"B-"
"145",88,60,100,100,95,92,79,95,100,12,58,67,70,95,60,76,75,85,100,94,77,86,"B"
"146",85,95,100,100,95,100,89,98,85,12,92,67,82,100,72,79,90,88,100,95,91,92,"A"
"147",84,100,0,90,70,94,76,100,100,12,100,61,90,95,60,67,75,74,100,89,95,85,"B"
"148",85,100,92,100,95,100,90,65,100,12,67,100,75,85,66,79,83,88,100,95,87,90,"A-"
"149",92,100,92,70,100,82,86,60,100,12,67,67,40,45,70,64,87,71,100,90,59,81,"B-"
"150",92,98,95,100,91,100,94,100,95,12,83,78,40,95,62,67,78,74,100,97,85,86,"B"
"151",86,100,100,90,100,92,0,90,100,12,58,33,85,90,33,67,41,74,100,95,78,77,"C"
"152",92,100,0,90,100,100,89,100,100,12,83,72,80,95,70,77,88,86,100,96,86,91,"A"
"153",82,80,95,90,100,98,92,100,85,11,92,89,60,90,68,73,85,81,100,93,90,89,"A-"
"154",85,42,0,0,0,66,0,0,80,6,83,67,0,70,52,43,65,48,0,34,73,46,"F"
"155",78,100,98,65,72,81,97,100,75,10,79,50,0,85,65,62,81,69,80,88,71,78,"C+"
"156",70,80,90,100,90,0,90,90,85,12,92,0,75,90,36,47,45,52,100,87,86,71,"C"
"157",78,92,95,90,0,95,94,100,100,10,67,89,70,45,66,70,83,78,80,93,75,83,"B"
"158",92,98,100,100,100,99,97,100,100,12,92,61,85,70,58,73,72,81,100,99,82,87,"B+"
"159",90,100,98,80,96,96,51,85,100,12,100,67,75,85,70,75,87,83,100,93,87,89,"A-"
"160",89,100,55,98,100,83,100,0,97,9,75,61,0,100,70,69,88,77,60,90,79,82,"B-"
"161",65,82,88,85,95,95,100,90,80,12,92,78,75,95,70,78,88,87,100,89,88,89,"A-"
"162",92,100,100,70,100,100,91,80,90,12,100,67,60,90,69,73,86,82,100,94,86,89,"A-"
"163",92,98,100,0,100,99,94,90,100,12,92,89,80,95,71,79,89,88,100,97,92,93,"A"
"164",92,82,92,75,100,99,76,90,89,12,100,83,80,40,67,78,84,87,100,90,88,89,"A-"
"165",70,78,95,0,90,97,100,80,100,11,75,28,50,55,65,64,81,71,100,89,60,80,"B-"
"166",80,58,100,60,80,78,70,95,94,12,83,67,70,90,69,64,86,72,100,82,81,82,"B-"
"167",92,100,92,95,100,97,97,100,85,12,58,50,52,60,68,63,85,70,100,97,57,82,"B-"
"168",82,100,100,100,100,98,71,100,91,12,92,83,80,95,70,80,87,89,100,96,90,92,"A"
"169",80,0,95,0,55,0,0,0,75,7,83,0,0,65,54,61,67,68,20,38,49,51,"D"
"170",42,52,90,72,100,95,88,80,85,12,83,89,42,80,66,63,82,70,100,83,84,81,"B-"
"171",80,92,100,90,100,94,85,90,85,11,92,89,75,100,66,57,83,64,100,92,94,84,"B"
"172",70,100,92,82,100,99,97,90,85,12,75,83,80,90,70,80,87,89,100,93,84,90,"A-"
"173",90,100,100,100,95,99,100,100,100,12,92,100,80,90,70,75,88,83,100,99,94,92,"A"
"174",70,92,90,85,95,99,88,90,90,12,92,89,75,90,70,66,87,73,100,91,90,86,"B"
"175",100,100,85,90,85,89,92,95,95,12,100,94,80,100,79,82,99,91,100,93,98,95,"A"
"176",100,100,92,80,100,98,100,80,100,10,100,0,90,0,70,83,88,92,80,96,63,87,"B+"
"177",40,0,82,0,70,0,52,0,98,12,58,61,0,75,46,36,58,40,100,43,65,54,"D"
"178",92,100,92,90,100,96,85,90,85,12,83,89,80,75,60,71,75,78,100,93,84,85,"B"
"179",92,85,100,85,95,100,92,90,75,12,92,61,80,100,71,75,89,83,100,92,91,90,"A-"
"180",87,100,100,100,100,93,91,80,98,10,83,89,50,85,48,54,60,60,80,96,86,77,"C"
"181",75,98,68,80,95,90,58,100,85,12,100,78,68,85,58,57,72,63,100,86,88,79,"C+"
"182",100,100,92,90,95,95,100,100,80,12,83,100,80,100,72,80,90,89,100,97,94,93,"A"
"183",85,85,85,85,85,72,85,65,80,6,75,39,60,70,49,55,61,61,0,83,68,63,"C-"
"184",92,70,90,75,100,100,84,100,75,12,100,89,85,95,70,67,87,74,100,90,95,87,"B+"
"185",85,99,92,0,0,0,0,0,0,3,42,0,0,0,75,67,94,74,0,35,14,50,"F"
"186",80,100,100,0,90,0,100,70,0,10,83,0,30,70,64,55,80,62,80,68,61,69,"C-"
"187",65,100,55,90,100,86,100,85,85,9,83,89,52,90,68,60,85,67,60,89,87,80,"B-"
"188",60,100,92,100,95,71,90,92,85,10,92,89,52,100,72,74,90,82,80,91,94,88,"B+"
"189",75,100,100,100,100,95,100,100,100,12,100,89,82,100,66,76,83,84,100,99,96,92,"A"
"190",68,80,78,48,100,80,76,78,80,12,83,78,75,80,44,64,55,72,100,80,80,75,"C"
"191",74,70,92,80,100,97,90,100,96,12,67,61,75,85,66,74,82,82,100,91,76,86,"B"
"192",75,90,95,70,85,85,0,62,100,12,83,89,40,80,59,68,74,76,100,83,84,81,"B-"
"193",70,98,100,70,100,100,97,95,85,12,92,50,80,70,61,65,76,72,100,93,81,83,"B"
"194",82,100,100,100,97,100,100,90,75,12,92,72,65,80,62,57,78,64,100,96,81,82,"B-"
"195",92,98,98,90,92,95,62,95,90,12,67,44,90,90,64,65,80,72,100,94,82,85,"B"
"196",100,72,100,100,100,99,97,100,100,12,67,100,85,50,66,68,83,75,100,100,84,88,"B+"
"197",95,100,100,100,100,89,98,85,100,12,92,67,60,80,53,64,66,71,100,98,79,82,"B-"
"198",62,0,0,0,65,76,71,90,98,9,0,44,55,100,68,34,85,38,60,58,66,60,"D"
"199",52,55,85,68,90,78,92,80,80,12,50,72,0,85,52,54,65,60,100,78,69,72,"C"
"200",92,98,0,85,90,76,81,90,80,12,92,50,60,75,70,78,87,87,100,86,76,86,"B"
"201",100,100,92,90,100,99,90,95,100,12,100,100,85,90,70,80,88,89,100,97,97,94,"A"
"202",82,100,88,90,100,96,100,80,95,11,75,72,55,75,55,58,69,64,100,94,74,79,"C+"
"203",72,95,100,80,100,76,100,90,70,12,92,100,100,100,69,81,86,90,100,89,100,91,"A"
"204",82,85,95,90,100,95,87,85,85,12,92,89,70,100,59,71,74,79,100,90,94,86,"B"
"205",90,100,100,70,100,0,97,100,98,10,75,72,70,75,56,57,70,63,80,94,74,77,"C"
"206",95,75,100,100,100,99,85,85,100,12,50,56,50,95,61,51,76,57,100,96,67,78,"C+"
"207",92,100,100,100,100,100,100,100,100,12,67,61,80,90,66,67,83,74,100,100,79,87,"B+"
"208",92,0,92,95,100,95,0,0,80,9,83,0,35,60,55,41,69,46,60,69,59,61,"C-"
"209",67,0,48,90,100,59,59,80,98,12,92,89,85,90,63,71,79,78,100,75,90,81,"B-"
"210",90,90,90,90,0,0,0,0,0,6,50,0,35,0,66,13,83,14,0,45,28,38,"F"
"211",90,80,80,60,71,95,95,100,90,12,67,78,65,75,63,62,79,68,100,88,73,80,"B-"
"212",0,0,82,75,90,0,87,0,80,10,75,0,50,90,30,27,38,30,80,52,72,50,"F"
