"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Lab","Homework","Quiz","overall","Grade"
"273",100,100,100,100,100,75,100,95,65,12,96,72,45,85,50,68,63,76,100,96,84,83,"B"
"274",88,100,92,100,100,100,90,100,100,12,83,89,75,85,70,81,87,90,100,98,86,92,"A"
"275",92,70,85,80,100,97,79,100,85,12,83,100,95,100,77,68,96,76,100,90,98,90,"A-"
"276",62,80,75,100,95,95,100,85,100,12,75,100,80,75,57,54,71,60,100,91,85,79,"C+"
"277",87,100,100,100,99,99,100,100,96,11,50,67,70,90,64,79,80,88,100,99,76,89,"A-"
"278",60,75,100,0,100,94,100,90,100,10,50,33,25,40,70,45,87,50,80,90,41,71,"C"
"279",79,96,92,100,100,98,87,100,82,12,100,78,75,100,66,71,83,78,100,94,93,88,"B+"
"280",88,98,95,90,90,88,100,60,100,12,67,83,68,0,69,70,86,78,100,94,72,86,"B"
"281",60,82,92,80,0,73,86,100,85,11,75,50,57,65,77,75,96,83,100,82,66,84,"B"
"282",90,100,100,100,95,99,100,95,100,12,100,100,80,90,65,73,81,81,100,99,97,91,"A"
"283",92,100,100,100,100,99,100,100,95,12,83,67,70,95,71,76,89,85,100,99,83,91,"A"
"284",88,100,65,70,0,76,80,100,98,9,50,33,55,95,54,70,67,78,60,85,67,74,"C"
"285",0,85,100,100,100,99,100,98,100,12,67,78,70,75,60,81,75,90,100,98,74,88,"B+"
"286",70,70,55,65,72,58,47,60,80,12,92,56,75,100,66,58,82,64,100,66,89,76,"C"
"287",82,78,100,90,95,93,84,100,85,12,100,78,85,45,59,70,74,78,100,91,88,85,"B"
"288",100,85,100,100,100,87,97,90,100,12,67,100,85,90,64,66,80,74,100,97,92,87,"B+"
"289",82,100,92,80,100,99,100,80,100,12,100,100,90,100,71,89,89,99,100,94,100,96,"A+"
"290",0,80,100,95,78,90,77,75,97,11,83,67,55,85,58,60,73,66,100,86,78,79,"C+"
"291",78,0,92,90,85,66,48,70,85,12,50,50,25,30,28,40,35,44,100,77,43,58,"D"
"292",92,72,72,30,0,83,100,0,85,12,58,44,35,15,21,18,26,20,100,67,46,47,"F"
"293",92,100,100,100,100,99,97,100,85,12,92,100,95,100,71,80,89,88,100,99,98,94,"A"
"294",74,85,95,90,99,88,97,90,100,12,50,78,45,70,75,65,94,72,100,93,66,85,"B"
"295",92,100,100,100,100,100,92,0,95,12,92,94,75,100,78,80,98,89,100,97,95,95,"A"
"296",92,92,98,80,97,100,89,90,60,11,88,67,30,70,51,44,64,49,100,92,75,74,"C"
"297",52,48,98,75,65,81,79,90,65,10,75,44,40,75,39,60,49,67,80,76,65,67,"C-"
"298",78,92,78,90,93,90,90,55,65,11,67,44,30,50,64,49,80,54,100,84,54,73,"C"
"299",72,65,90,70,75,84,65,80,85,11,83,61,80,95,64,71,80,79,100,78,86,82,"B-"
"300",78,0,72,90,95,87,97,100,100,11,50,78,85,65,56,61,70,68,100,90,76,79,"C+"
"301",80,100,95,70,88,90,96,100,85,12,92,61,55,95,62,81,77,90,100,92,83,88,"B+"
"302",62,0,78,90,100,98,100,90,100,12,100,94,35,90,76,74,95,82,100,90,95,91,"A"
"303",94,100,100,90,100,99,100,95,95,12,92,78,80,90,57,65,71,72,100,98,87,85,"B"
"304",66,85,90,90,100,0,65,95,100,12,83,22,75,65,42,37,53,41,100,86,74,68,"C-"
